objectives,normalizedObjectives,gridIndex
"[37400617.0, 2804199.87, 212.0, 110142.0, 367.0, 155.0]","[0.5253256862458986, 0.20886960386261502, 0.5, 0.618140735958683, 0.5833333333333334, 0.6666666666666666]","[26, 10, 25, 30, 29, 33]"
"[37401123.0, 2926290.29, 214.0, 110732.0, 365.0, 151.0]","[0.5253444735164461, 0.2333006654470802, 0.8333333333333334, 0.8085861846352486, 0.5, 0.47619047619047616]","[26, 11, 41, 40, 25, 23]"
"[37619522.0, 2309900.15, 215.0, 110889.0, 370.0, 156.0]","[0.5334534084972671, 0.1099571183416061, 1.0, 0.8592640413169786, 0.7083333333333334, 0.7142857142857143]","[26, 5, 50, 42, 35, 35]"
"[37660281.0, 2318558.07, 215.0, 110889.0, 370.0, 156.0]","[0.5349667491301605, 0.11168962263402618, 1.0, 0.8592640413169786, 0.7083333333333334, 0.7142857142857143]","[26, 5, 50, 42, 35, 35]"
"[37711008.0, 2706171.96, 214.0, 110859.0, 362.0, 148.0]","[0.5368501915670403, 0.18925360199935326, 0.8333333333333334, 0.8495803744351195, 0.375, 0.3333333333333333]","[26, 9, 41, 42, 18, 16]"
"[37721874.0, 2142872.47, 214.0, 110805.0, 370.0, 156.0]","[0.5372536352068995, 0.07653382815724653, 0.8333333333333334, 0.8321497740477728, 0.7083333333333334, 0.7142857142857143]","[26, 3, 41, 41, 35, 35]"
"[37756578.0, 2823076.69, 212.0, 110135.0, 366.0, 154.0]","[0.5385421597861073, 0.21264697437161043, 0.5, 0.6158812136862492, 0.5416666666666666, 0.6190476190476191]","[26, 10, 25, 30, 27, 30]"
"[37801846.0, 2159813.74, 214.0, 110803.0, 370.0, 156.0]","[0.5402229150492349, 0.07992388292721991, 0.8333333333333334, 0.8315041962556488, 0.7083333333333334, 0.7142857142857143]","[27, 3, 41, 41, 35, 35]"
"[37905933.0, 2823076.69, 212.0, 110120.0, 366.0, 154.0]","[0.544087560562029, 0.21264697437161043, 0.5, 0.6110393802453196, 0.5416666666666666, 0.6190476190476191]","[27, 10, 25, 30, 27, 30]"
"[37940909.0, 2824337.28, 212.0, 110120.0, 366.0, 154.0]","[0.5453861842273809, 0.2128992263658517, 0.5, 0.6110393802453196, 0.5416666666666666, 0.6190476190476191]","[27, 10, 25, 30, 27, 30]"
"[37954734.0, 3004108.42, 214.0, 110696.0, 364.0, 150.0]","[0.5458994925580503, 0.24887256311454595, 0.8333333333333334, 0.7969657843770175, 0.4583333333333333, 0.42857142857142855]","[27, 12, 41, 39, 22, 21]"
"[38018161.0, 2184932.22, 214.0, 110772.0, 370.0, 156.0]","[0.5482544732082755, 0.0849502488926098, 0.8333333333333334, 0.8214977404777276, 0.7083333333333334, 0.7142857142857143]","[27, 4, 41, 41, 35, 35]"
"[38020881.0, 2841278.55, 212.0, 110119.0, 366.0, 154.0]","[0.5483554640697164, 0.21628928113582507, 0.5, 0.6107165913492576, 0.5416666666666666, 0.6190476190476191]","[27, 10, 25, 30, 27, 30]"
"[38041421.0, 3184662.89, 213.0, 110410.0, 362.0, 149.0]","[0.549118093589568, 0.28500264912719525, 0.6666666666666666, 0.7046481601032925, 0.375, 0.38095238095238093]","[27, 14, 33, 35, 18, 19]"
"[38041513.0, 2322095.88, 214.0, 110818.0, 370.0, 155.0]","[0.5491215094569402, 0.1123975606850554, 0.8333333333333334, 0.8363460296965785, 0.7083333333333334, 0.6666666666666666]","[27, 5, 41, 41, 35, 33]"
"[38080001.0, 3263586.46, 212.0, 110203.0, 366.0, 153.0]","[0.550550530146329, 0.3007957522972543, 0.5, 0.6378308586184636, 0.5416666666666666, 0.5714285714285714]","[27, 15, 25, 31, 27, 28]"
"[38150125.0, 3742105.52, 213.0, 110880.0, 360.0, 147.0]","[0.5531541636638594, 0.39655042841517074, 0.6666666666666666, 0.856358941252421, 0.2916666666666667, 0.2857142857142857]","[27, 19, 33, 42, 14, 14]"
"[38374122.0, 2203809.04, 214.0, 110765.0, 370.0, 155.0]","[0.5614709467484841, 0.08872761940160519, 0.8333333333333334, 0.8192382182052937, 0.7083333333333334, 0.6666666666666666]","[28, 4, 41, 40, 35, 33]"
"[38375345.0, 2309470.59, 214.0, 110687.0, 369.0, 155.0]","[0.5615163555071393, 0.10987116068158474, 0.8333333333333334, 0.7940606843124597, 0.6666666666666666, 0.6666666666666666]","[28, 5, 41, 39, 33, 33]"
"[38386378.0, 2205176.59, 214.0, 110765.0, 370.0, 155.0]","[0.561925999688859, 0.08900127476514501, 0.8333333333333334, 0.8192382182052937, 0.7083333333333334, 0.6666666666666666]","[28, 4, 41, 40, 35, 33]"
"[38494393.0, 2336963.84, 213.0, 110614.0, 368.0, 155.0]","[0.5659364878868516, 0.11537273307282639, 0.6666666666666666, 0.7704970948999355, 0.625, 0.6666666666666666]","[28, 5, 33, 38, 31, 33]"
"[38513636.0, 3451754.31, 212.0, 110224.0, 362.0, 150.0]","[0.5666509611025529, 0.3384493235730875, 0.5, 0.644609425435765, 0.375, 0.42857142857142855]","[28, 16, 25, 32, 18, 21]"
"[38720737.0, 3668104.85, 214.0, 111271.0, 362.0, 148.0]","[0.5743404127184624, 0.3817424285240926, 0.8333333333333334, 0.9825693996126533, 0.375, 0.3333333333333333]","[28, 19, 41, 49, 18, 16]"
"[38741017.0, 2789035.34, 211.0, 109578.0, 368.0, 157.0]","[0.575093388700088, 0.20583508595097647, 0.3333333333333333, 0.43608779857972885, 0.625, 0.7619047619047619]","[28, 10, 16, 21, 31, 38]"
"[38758392.0, 2358299.68, 214.0, 110788.0, 366.0, 152.0]","[0.5757385049565349, 0.11964216896301584, 0.8333333333333334, 0.8266623628147192, 0.5416666666666666, 0.5238095238095238]","[28, 5, 41, 41, 27, 26]"
"[38792473.0, 2666646.61, 213.0, 110560.0, 367.0, 154.0]","[0.5770038981729936, 0.1813443306576907, 0.6666666666666666, 0.7530664945125888, 0.5833333333333334, 0.6190476190476191]","[28, 9, 33, 37, 29, 30]"
"[38861065.0, 2663481.31, 212.0, 109578.0, 371.0, 158.0]","[0.579550650072977, 0.18071093420256096, 0.5, 0.43608779857972885, 0.75, 0.8095238095238095]","[28, 9, 25, 21, 37, 40]"
"[38869797.0, 2347095.25, 214.0, 110432.0, 368.0, 154.0]","[0.5798748604413969, 0.11740009198966418, 0.8333333333333334, 0.7117495158166559, 0.625, 0.6190476190476191]","[28, 5, 41, 35, 31, 30]"
"[38987152.0, 2688501.39, 213.0, 110491.0, 367.0, 154.0]","[0.5842321334356608, 0.18571760970853635, 0.6666666666666666, 0.7307940606843124, 0.5833333333333334, 0.6190476190476191]","[29, 9, 33, 36, 29, 30]"
"[39033485.0, 3004108.42, 213.0, 110514.0, 364.0, 150.0]","[0.5859524310765217, 0.24887256311454595, 0.6666666666666666, 0.7382182052937379, 0.4583333333333333, 0.42857142857142855]","[29, 12, 33, 36, 22, 21]"
"[39047904.0, 3943976.74, 212.0, 110546.0, 359.0, 146.0]","[0.5864877940291381, 0.4369461302888405, 0.5, 0.7485474499677212, 0.25, 0.23809523809523808]","[29, 21, 25, 37, 12, 11]"
"[39052917.0, 4150241.5, 212.0, 110063.0, 361.0, 150.0]","[0.5866739216719334, 0.47822100717324245, 0.5, 0.592640413169787, 0.3333333333333333, 0.42857142857142855]","[29, 23, 25, 29, 16, 21]"
"[39054345.0, 2698306.93, 213.0, 110484.0, 367.0, 154.0]","[0.58672694187419, 0.1876797599870671, 0.6666666666666666, 0.7285345384118787, 0.5833333333333334, 0.6190476190476191]","[29, 9, 33, 36, 29, 30]"
"[39062923.0, 2357349.7, 213.0, 110224.0, 368.0, 154.0]","[0.5870454343776605, 0.1194520719850219, 0.6666666666666666, 0.644609425435765, 0.625, 0.6190476190476191]","[29, 5, 33, 32, 31, 30]"
"[39142895.0, 2374290.97, 213.0, 110223.0, 368.0, 154.0]","[0.590014714219996, 0.12284212675499528, 0.6666666666666666, 0.6442866365397031, 0.625, 0.6190476190476191]","[29, 6, 33, 32, 31, 30]"
"[39249286.0, 2654654.05, 213.0, 110467.0, 367.0, 154.0]","[0.5939649049330694, 0.1789445439101687, 0.6666666666666666, 0.723047127178825, 0.5833333333333334, 0.6190476190476191]","[29, 8, 33, 36, 29, 30]"
"[39285479.0, 2681968.17, 214.0, 110748.0, 367.0, 153.0]","[0.5953087145831175, 0.18441027126081158, 0.8333333333333334, 0.8137508069722401, 0.5833333333333334, 0.5714285714285714]","[29, 9, 41, 40, 29, 28]"
"[39454380.0, 4221113.09, 212.0, 110061.0, 361.0, 149.0]","[0.601579838659673, 0.4924028584591907, 0.5, 0.591994835377663, 0.3333333333333333, 0.38095238095238093]","[30, 24, 25, 29, 16, 19]"
"[39533725.0, 4223408.96, 211.0, 109612.0, 360.0, 149.0]","[0.6045258386232867, 0.49286227649837777, 0.3333333333333333, 0.44706262104583605, 0.2916666666666667, 0.38095238095238093]","[30, 24, 16, 22, 14, 19]"
"[39593626.0, 3396794.12, 213.0, 110322.0, 365.0, 153.0]","[0.6067499024435704, 0.32745144358722206, 0.6666666666666666, 0.6762427372498386, 0.5, 0.5714285714285714]","[30, 16, 33, 33, 25, 28]"
"[39616620.0, 3731337.0, 214.0, 111260.0, 361.0, 147.0]","[0.6076036465126778, 0.39439557977681283, 0.8333333333333334, 0.9790187217559716, 0.3333333333333333, 0.2857142857142857]","[30, 19, 41, 48, 16, 14]"
"[39667260.0, 2880039.47, 210.0, 109142.0, 367.0, 156.0]","[0.6094838587271513, 0.2240455852225056, 0.16666666666666666, 0.29535183989670755, 0.5833333333333334, 0.7142857142857143]","[30, 11, 8, 14, 29, 35]"
